Ticker,diferencia_cierre_vs_apertura,nombre_holding,activity_act,activity_porc,Adj Close,Operacion_insider,insider_rating,ebitda,netIncome,eps_surprise,year,quarter,quarter - year
AMZN,-0.3099975585937216,tp,0,0.2744999999999999,193.9600067138672,0,1.0,32082000000.0,15328000000.0,0.29,2024,3,2024-09-30
AMZN,0.23001098632809658,AM,0,0.1875,185.1300048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,0.23001098632809658,tp,0,0.0676,185.1300048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-1.07000732421875,AM,0,0.1875,197.92999267578125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-1.07000732421875,tp,0,0.0676,197.92999267578125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-1.07000732421875,AM,0,0.1875,197.92999267578125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-1.07000732421875,tp,0,0.0676,197.92999267578125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-1.07000732421875,AM,0,0.1875,197.92999267578125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-1.07000732421875,tp,0,0.0676,197.92999267578125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-0.6699981689453125,AM,0,0.1875,195.77999877929688,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-0.6699981689453125,tp,0,0.0676,195.77999877929688,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,7.080001831054659,AM,0,0.1875,207.08999633789065,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,7.080001831054659,tp,0,0.0676,207.08999633789065,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,2.6100006103515625,AM,0,0.1875,210.0500030517578,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,2.6100006103515625,tp,0,0.0676,210.0500030517578,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-1.540008544921875,AM,0,0.1875,208.17999267578125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-1.540008544921875,tp,0,0.0676,208.17999267578125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,0.5400085449217897,AM,0,0.1875,208.9100036621093,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,0.5400085449217897,tp,0,0.0676,208.9100036621093,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-4.149993896484403,AM,0,0.1875,202.6100006103516,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-4.149993896484403,tp,0,0.0676,202.6100006103516,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,5.279998779296903,AM,0,0.1875,204.6100006103516,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,5.279998779296903,tp,0,0.0676,204.6100006103516,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-5.110000610351591,AM,0,0.1875,198.3800048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-5.110000610351591,tp,0,0.0676,198.3800048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-5.110000610351591,AM,0,0.1875,198.3800048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-5.110000610351591,tp,0,0.0676,198.3800048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-5.110000610351591,AM,0,0.1875,198.3800048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-5.110000610351591,tp,0,0.0676,198.3800048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-5.110000610351591,AM,0,0.1875,198.3800048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
AMZN,-5.110000610351591,tp,0,0.0676,198.3800048828125,0,1.0,38550000000.0,20004000000.0,0.3763,2024,4,2024-12-31
