Date,quarter - year,Ticker,diferencia_cierre_vs_apertura,nombre_holding,activity_act,activity_porc,Operacion_insider,resultado_operacion_insider,insider_rating,ebitda,netIncome,eps_surprise
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,tp,0,1.0,0,-11.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,AM,0,0.1176,0,-24.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,BAUPOST,1,1.0,0,-24.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,FS,1,0.0002,0,-24.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,tp,0,1.0,0,-24.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,AM,0,0.1176,0,-24.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,BAUPOST,1,1.0,0,-24.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,FS,1,0.0002,0,-24.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,tp,0,1.0,0,-24.0,1.0,13033000000.0,-2028000000.0,0.04
15-08-2022,Q3 2022,AMZN,0.3799896240234375,AM,0,0.0333,0,-1.0,1.0,12729000000.0,2872000000.0,-0.05
15-08-2022,Q3 2022,AMZN,0.3799896240234375,BAUPOST,0,0.5853,0,-1.0,1.0,12729000000.0,2872000000.0,-0.05
15-08-2022,Q3 2022,AMZN,0.3799896240234375,FS,1,0.0008,0,-1.0,1.0,12729000000.0,2872000000.0,-0.05
15-08-2022,Q3 2022,AMZN,0.3799896240234375,LMM,1,0.0088,0,-1.0,1.0,12729000000.0,2872000000.0,-0.05
15-08-2022,Q3 2022,AMZN,0.3799896240234375,AM,0,0.0333,0,-10.0,1.0,12729000000.0,2872000000.0,-0.05
15-08-2022,Q3 2022,AMZN,0.3799896240234375,BAUPOST,0,0.5853,0,-10.0,1.0,12729000000.0,2872000000.0,-0.05
15-08-2022,Q3 2022,AMZN,0.3799896240234375,FS,1,0.0008,0,-10.0,1.0,12729000000.0,2872000000.0,-0.05
15-08-2022,Q3 2022,AMZN,0.3799896240234375,LMM,1,0.0088,0,-10.0,1.0,12729000000.0,2872000000.0,-0.05
16-08-2022,Q3 2022,AMZN,0.8699951171875,AM,0,0.0333,0,-15.0,1.0,12729000000.0,2872000000.0,-0.05
16-08-2022,Q3 2022,AMZN,0.8699951171875,BAUPOST,0,0.5853,0,-15.0,1.0,12729000000.0,2872000000.0,-0.05
16-08-2022,Q3 2022,AMZN,0.8699951171875,FS,1,0.0008,0,-15.0,1.0,12729000000.0,2872000000.0,-0.05
16-08-2022,Q3 2022,AMZN,0.8699951171875,LMM,1,0.0088,0,-15.0,1.0,12729000000.0,2872000000.0,-0.05
22-08-2022,Q3 2022,AMZN,-2.5,AM,0,0.0333,0,-11.0,1.0,12729000000.0,2872000000.0,-0.05
22-08-2022,Q3 2022,AMZN,-2.5,BAUPOST,0,0.5853,0,-11.0,1.0,12729000000.0,2872000000.0,-0.05
22-08-2022,Q3 2022,AMZN,-2.5,FS,1,0.0008,0,-11.0,1.0,12729000000.0,2872000000.0,-0.05
22-08-2022,Q3 2022,AMZN,-2.5,LMM,1,0.0088,0,-11.0,1.0,12729000000.0,2872000000.0,-0.05
22-08-2022,Q3 2022,AMZN,-2.5,AM,0,0.0333,0,-3.0,1.0,12729000000.0,2872000000.0,-0.05
22-08-2022,Q3 2022,AMZN,-2.5,BAUPOST,0,0.5853,0,-3.0,1.0,12729000000.0,2872000000.0,-0.05
22-08-2022,Q3 2022,AMZN,-2.5,FS,1,0.0008,0,-3.0,1.0,12729000000.0,2872000000.0,-0.05
22-08-2022,Q3 2022,AMZN,-2.5,LMM,1,0.0088,0,-3.0,1.0,12729000000.0,2872000000.0,-0.05
